Rok,KWP,Województwo,target_mortality_rate,male_pct,female_pct,sober_pct,edu_low_pct,edu_mid_pct,edu_higher_pct,edu_unknown_pct,youth_pct,young_adult_pct,middle_age_pct,senior_pct,substances_pct,SES_instability_index,weekend_pct
2022,Podlaskie,Podlaskie,0.2573,0.6209,0.3791,0.1561,0.1561,0.1063,0.0034,0.7341,0.1509,0.2967,0.4168,0.1355,0.6895,-0.1955,0.2796
2022,Pomorskie,Pomorskie,0.1893,0.5587,0.4413,0.2001,0.2001,0.1249,0.0137,0.6613,0.2263,0.3233,0.354,0.0964,0.5661,-0.1385,0.2879
2022,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3958,0.7083,0.2917,0.1603,0.1635,0.1394,0.016,0.6811,0.133,0.2596,0.4407,0.1667,0.6186,-0.1795,0.3029
2022,Wielkopolskie,Wielkopolskie,0.4897,0.7291,0.2709,0.1366,0.1826,0.2793,0.0314,0.5067,0.1016,0.2999,0.4244,0.1741,0.5683,-0.2866,0.2842
2022,Zachodniopomorskie,Zachodniopomorskie,0.3953,0.6927,0.3073,0.1811,0.1711,0.1329,0.0266,0.6694,0.1063,0.3056,0.402,0.186,0.6013,-0.1777,0.3355
2022,Łódzkie,Łódzkie,0.2377,0.6206,0.3794,0.1746,0.1676,0.141,0.0245,0.6669,0.148,0.31,0.3913,0.1501,0.7742,-0.2335,0.2714
2022,Śląskie,Śląskie,0.2829,0.5966,0.4034,0.184,0.1712,0.1502,0.0277,0.6509,0.1543,0.2988,0.386,0.1609,0.6515,-0.2317,0.2886
2022,Świętokrzyskie,Świętokrzyskie,0.2913,0.6427,0.3573,0.2175,0.2408,0.365,0.0505,0.3437,0.1689,0.2621,0.4,0.1689,0.6777,-0.268,0.2971
2023,Dolnośląskie,Dolnośląskie,0.4074,0.6682,0.3318,0.1588,0.0992,0.1352,0.0227,0.7429,0.103,0.3233,0.3989,0.173,0.5019,-0.1597,0.3025
2023,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.5047,0.7114,0.2886,0.1434,0.1285,0.1117,0.0372,0.7225,0.1117,0.3054,0.4097,0.1732,0.4376,-0.2384,0.3259
2023,Lubelskie,Lubelskie,0.3549,0.6749,0.3251,0.1503,0.2034,0.1645,0.0402,0.592,0.1593,0.2772,0.3951,0.1684,0.5453,-0.2461,0.2915
2023,Lubuskie,Lubuskie,0.4463,0.6775,0.3225,0.1726,0.0945,0.0717,0.0228,0.8111,0.1075,0.2899,0.456,0.1466,0.5603,-0.1596,0.2769
2023,Mazowieckie,Mazowieckie,0.5383,0.6908,0.3092,0.1191,0.1435,0.133,0.0425,0.6811,0.0975,0.312,0.4081,0.1797,0.4777,-0.2145,0.282
2023,Małopolskie,Małopolskie,0.3353,0.6091,0.3909,0.1602,0.156,0.1643,0.0249,0.6548,0.1527,0.3004,0.3925,0.1544,0.5959,-0.2174,0.283
2023,Opolskie,Opolskie,0.4101,0.7518,0.2482,0.1727,0.1259,0.1547,0.0288,0.6906,0.0755,0.2842,0.4532,0.1835,0.5288,-0.2662,0.295
2023,Podkarpackie,Podkarpackie,0.4104,0.6922,0.3078,0.1593,0.147,0.2144,0.0322,0.6064,0.1057,0.2864,0.4319,0.1761,0.5972,-0.2297,0.2634
2023,Podlaskie,Podlaskie,0.3123,0.6528,0.3472,0.1595,0.1844,0.1262,0.0199,0.6694,0.1545,0.2625,0.4452,0.1379,0.6429,-0.1578,0.2774
