Rok,KWP,Województwo,target_mortality_rate,male_pct,education_higher_pct,youth_pct,young_adult_pct,middle_age_pct,senior_pct,SES_instability_index,substances_pct,institution_contact_pct,weekend_pct
2021,Pomorskie,Pomorskie,0.191,0.6185,0.0185,0.1851,0.3618,0.3552,0.0973,-0.1331,0.5588,0.1934,0.3176
2021,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3726,0.6667,0.0188,0.1009,0.3145,0.4222,0.1624,-0.2068,0.6547,0.1675,0.2752
2021,Wielkopolskie,Wielkopolskie,0.5124,0.7878,0.0273,0.062,0.3015,0.4491,0.1861,-0.2891,0.5707,0.1898,0.2866
2021,Zachodniopomorskie,Zachodniopomorskie,0.4125,0.6785,0.0185,0.1296,0.2912,0.3906,0.1886,-0.2357,0.6263,0.1936,0.298
2021,Łódzkie,Łódzkie,0.2406,0.6395,0.0252,0.0888,0.3323,0.4175,0.1606,-0.2184,0.772,0.2154,0.2924
2021,Śląskie,Śląskie,0.3223,0.6545,0.0227,0.1141,0.3184,0.4109,0.1561,-0.247,0.619,0.2187,0.2879
2021,Świętokrzyskie,Świętokrzyskie,0.3561,0.6989,0.0568,0.1098,0.303,0.4318,0.1553,-0.2576,0.6553,0.233,0.2917
2022,Dolnośląskie,Dolnośląskie,0.4106,0.6813,0.019,0.1089,0.3197,0.4096,0.1588,-0.1618,0.4525,0.1449,0.2677
2022,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.5373,0.6882,0.0137,0.0941,0.2902,0.4196,0.1941,-0.2118,0.4275,0.1059,0.2863
2022,Lubelskie,Lubelskie,0.4008,0.6612,0.0253,0.1568,0.268,0.4083,0.1669,-0.2263,0.5752,0.1858,0.2933
2022,Lubuskie,Lubuskie,0.4441,0.6997,0.0192,0.1054,0.3195,0.393,0.1821,-0.2204,0.5591,0.1342,0.2843
2022,Mazowieckie,Mazowieckie,0.5437,0.6955,0.0396,0.113,0.2949,0.3903,0.201,-0.2135,0.4659,0.1952,0.2898
2022,Małopolskie,Małopolskie,0.3159,0.6156,0.0193,0.1487,0.3228,0.3606,0.168,-0.188,0.5709,0.2034,0.302
2022,Opolskie,Opolskie,0.5094,0.6667,0.0187,0.0787,0.2547,0.4157,0.2509,-0.206,0.5805,0.161,0.2397
2022,Podkarpackie,Podkarpackie,0.3842,0.7151,0.0317,0.1381,0.2835,0.4216,0.1554,-0.2043,0.5928,0.2432,0.2806
2022,Podlaskie,Podlaskie,0.2573,0.6209,0.0034,0.1509,0.2967,0.4168,0.1355,-0.1955,0.6895,0.1527,0.2796
2022,Pomorskie,Pomorskie,0.1893,0.5587,0.0137,0.2263,0.3233,0.354,0.0964,-0.1385,0.5661,0.1921,0.2879
2022,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3958,0.7083,0.016,0.133,0.2596,0.4407,0.1667,-0.1795,0.6186,0.1587,0.3029
2022,Wielkopolskie,Wielkopolskie,0.4897,0.7291,0.0314,0.1016,0.2999,0.4244,0.1741,-0.2866,0.5683,0.2539,0.2842
